shape_id,shape
1,changing
2,unknown
3,egg
4,sphere
5,chevron
6,rectangle
7,disk
8,circle
9,fireball
10,cigar
11,diamond
12,teardrop
13,oval
14,flash
15,formation
16,other
17,cone
18,light
19,delta
20,triangle
21,cylinder
