sighting_id,datetime,location_id,shape_id,duration_seconds,duration_text,comments,date_posted
965,10/12/2013 14:35,721,16,300,5 minutes,Huge and change of vector into sky.,10/14/2013
966,10/12/2013 15:00,197,15,900,15+ minutes,Cluster of silver orbs fading in and out of view.,10/23/2013
967,10/12/2013 18:30,438,20,1800,30 minutes,Triangular object with 2 small round objects in clouds in daylight1 of the objects took off at increadable speed.,10/14/2013
968,10/12/2013 19:45,123,1,180,2.5-3 minutes,Shape shifting Light Orbs.,11/11/2013
969,10/12/2013 20:00,10,16,120,2 minutes,Four orange globes,10/14/2013
970,10/12/2013 20:00,21,15,600,10 minutes,Husband and I witnessed 4 translucent lights moving clockwise then coming together in center and then spreading back out. I have seen t,10/14/2013
971,10/12/2013 20:00,469,18,30,30 seconds,3 to 4 bright glowing oarnge balls in a straight line then made fast movements in a straight line,10/14/2013
972,10/12/2013 20:00,494,20,900,15 minutes,9 sets of 3 triangular aircraft.,10/14/2013
973,10/12/2013 20:20,616,18,300,5 minutes,Red/orange lights.,11/11/2013
974,10/12/2013 20:40,587,15,1200,20 minutes,Bright light splits into 4 and forms shapes disappears one at a time above Hamilton Ohio,10/14/2013
975,10/12/2013 20:55,87,20,60,1 minute,UFO lights over Austin Texas ACL Fest During the Cure Concert.,10/14/2013
976,10/12/2013 21:00,256,18,600,10 minutes,Bright white lights one then three then four appeared then all diappeared then reappeared.,10/14/2013
977,10/12/2013 21:00,587,9,120,1-2 minutes,Large orange fireball splits into four fireballs.,10/23/2013
978,10/12/2013 21:00,125,2,60,<1 minute,Glowing orbs flickering and changing configuration.,10/14/2013
979,10/12/2013 21:00,75,18,60,~1 minute,One yellow light that split into four the reunited over Butler County Ohio.,10/23/2013
980,10/12/2013 21:15,407,9,600,10 minutes,Started as a fireball that separated into three hovering objects,10/14/2013
981,10/12/2013 21:15,111,15,180,3 minutes,Several stationary orange lights in sky west of Peoria in a descending arc which dissappeared in twos after a short period of time.,10/14/2013
982,10/12/2013 21:45,125,2,30,30 seconds,High altitude orb of ligh breaks into four which move around laterally join back together and disappear.,10/23/2013
983,10/12/2013 22:00,563,15,30,15-30 seconds,3 orbs in sky remote Colorado oct 12 2013  moving in up and down to side to side plus sign formations .,12/23/2013
984,10/12/2013 22:00,37,18,15,15 seconds,Oct 12 2013 I saw 3  orbs in sky  east of grand junction on I/70  moving in fasted up and down side to side  formations. .,12/23/2013
985,10/12/2013 22:05,602,11,180,3 minutes,Diamond\Top UFO with all red panels.,10/14/2013
986,10/12/2013 22:26,155,8,900,15 minutes,We just witnessed an amazing event.  About ten different hovering light facing 20&#39 north east of Hiawassee.  They were orange like and,10/14/2013
987,10/12/2013 22:30,358,16,120,2 minutes,Two thin pinkish glowing rings drifting through the air.,10/14/2013
988,10/12/2013 23:00,741,8,20,20 seconds,3 orange balls of light that jet off one at a time in different directions&#33,10/14/2013
989,10/12/2013 23:28,297,9,600,10 minutes,8 Orange Fireballs In sky,11/11/2013
990,10/12/2013 24:00,472,9,300,3-5 minutes,A bright orange light split into four did a strange but precise set of movements then joined back together and faded.,10/14/2013
991,10/12/2013 24:00,297,4,60,1 minute,swarm of 8 orange orbs stop and dispers in many directions...,10/23/2013
992,10/13/1966 07:00,329,7,5,5 seconds,I was driving to the hospital after work to visit my dad.   Suddenly about 3 blocks ahead of me a disc lite object appeared.  It arriv,3/18/2014
993,10/13/1969 21:15,339,15,259200,72 hours,Star-like 8-point inverted V-shape changed to V-shape executed 1-second shift  from directly South to directly West.,1/29/2002
994,10/13/1969 22:00,142,15,3600,1 hour,One object joining 9 others to complete a triangular formation.,9/24/2003
995,10/13/1971 21:00,224,7,600,10min.,i was just a baby up at fallmountpast central high schoolwolcott st..i was told by my family dadmom and 4 brother that when i was ju,4/27/2007
996,10/13/1973 18:00,180,13,300,5 minutes,Me and my brother was coming home from a friends house and we saw a red flashing light what liked to be over a friends house. After a f,2/14/2014
997,10/13/1990 16:00,167,4,600,10 minutes,These were four brightly luminous objects observed in the broad daylight.  They were lined up in a row-vertically.  They were all spher,5/24/1999
998,10/13/1994 19:30,277,21,120,2 min,I spotted what I thought was a bright landing light of a larger than usual aircraft for our airport.,4/2/1999
999,10/13/1995 06:30,769,18,60,1 minute,Late one evening on my way home from work I ran into a few old friends. We started talking about the good old days and hours passed w,3/21/2003
1000,10/13/1996 03:19,668,20,2400,40 min.,At 3:19 am bright light seen outside window and then one small tugboat triangular shaped aircraft seen over the house and then both oc,3/7/1998
