location_id,city,state,latitude,longitude
183,allen,tx,33.1030556,-96.6702778
184,allen,ok,34.8788889,-96.4122222
185,acton,in,39.6555556,-85.9669444
186,acme,mi,44.7719444,-85.5013889
187,adair,ia,41.5005556,-94.6433333
188,aitkin,mn,46.5330556,-93.71
189,alexandria,ky,38.9594444,-84.3880556
190,agency,mo,39.6447222,-94.7397222
191,adams county,wi,43.9561111,-89.8180556
192,alloy,wv,38.1375,-81.2744444
193,alston,mi,46.7683333,-88.7530556
194,alachua,fl,29.7513889,-82.425
195,alcova,wy,42.5522222,-106.7158333
196,alhambra,ca,34.0952778,-118.1261111
197,allendale,ky,37.3711111,-85.5830556
198,albertville,mn,45.2377778,-93.6541667
199,almena,wi,45.4169444,-92.0327778
200,albia,ia,41.0266667,-92.8055556
201,allegany,ny,42.09,-78.4944444
202,ahwahnee,ca,37.3655556,-119.7252778
203,alabaster,al,33.2441667,-86.8163889
204,addison,tx,32.9616667,-96.8288889
205,alma center,wi,44.4372222,-90.9111111
206,alger,oh,40.7061111,-83.8438889
207,aiken county,sc,33.5602778,-81.7197222
208,alexandria,mn,45.8852778,-95.3772222
