shape_id,shape
1,other
2,changing
3,egg
4,circle
5,rectangle
6,formation
7,cylinder
8,flash
9,sphere
10,fireball
11,triangle
12,unknown
13,light
14,oval
15,disk
16,diamond
17,cigar
